Cama	Fecha	Variable	Valor
1	2020-11-04	Tallos	15
1	2020-11-04	Plantas	122
1	2020-11-04	TallosPorPlanta	0.12295081967213115
1	2020-11-04	TallosPorM2	0.7211538461538461
1	2021-03-09	Tallos	5
1	2021-03-09	Plantas	122
1	2021-03-09	TallosPorPlanta	0.040983606557377046
1	2021-03-09	TallosPorM2	0.24038461538461536
1	2021-01-06	Tallos	14
1	2021-01-06	Plantas	122
1	2021-01-06	TallosPorPlanta	0.11475409836065574
1	2021-01-06	TallosPorM2	0.673076923076923
1	2021-05-27	Tallos	NA
1	2021-05-27	Plantas	122
1	2021-05-27	TallosPorPlanta	NA
1	2021-05-27	TallosPorM2	NA
1	2021-04-13	Tallos	34
1	2021-04-13	Plantas	122
1	2021-04-13	TallosPorPlanta	0.2786885245901639
1	2021-04-13	TallosPorM2	1.6346153846153846
1	2021-02-23	Tallos	NA
1	2021-02-23	Plantas	122
1	2021-02-23	TallosPorPlanta	NA
1	2021-02-23	TallosPorM2	NA
1	2021-06-21	Tallos	10
1	2021-06-21	Plantas	122
1	2021-06-21	TallosPorPlanta	0.08196721311475409
1	2021-06-21	TallosPorM2	0.4807692307692307
1	2021-05-18	Tallos	37
1	2021-05-18	Plantas	122
1	2021-05-18	TallosPorPlanta	0.30327868852459017
1	2021-05-18	TallosPorM2	1.7788461538461537
1	2021-03-29	Tallos	20
1	2021-03-29	Plantas	122
1	2021-03-29	TallosPorPlanta	0.16393442622950818
1	2021-03-29	TallosPorM2	0.9615384615384615
1	2021-02-02	Tallos	3
1	2021-02-02	Plantas	122
1	2021-02-02	TallosPorPlanta	0.02459016393442623
1	2021-02-02	TallosPorM2	0.14423076923076922
1	2020-12-18	Tallos	5
1	2020-12-18	Plantas	122
1	2020-12-18	TallosPorPlanta	0.040983606557377046
1	2020-12-18	TallosPorM2	0.24038461538461536
1	2020-11-23	Tallos	4
1	2020-11-23	Plantas	122
1	2020-11-23	TallosPorPlanta	0.03278688524590164
1	2020-11-23	TallosPorM2	0.1923076923076923
1	2020-11-05	Tallos	10
1	2020-11-05	Plantas	122
1	2020-11-05	TallosPorPlanta	0.08196721311475409
1	2020-11-05	TallosPorM2	0.4807692307692307
1	2021-03-15	Tallos	8
1	2021-03-15	Plantas	122
1	2021-03-15	TallosPorPlanta	0.06557377049180328
1	2021-03-15	TallosPorM2	0.3846153846153846
1	2021-01-12	Tallos	12
1	2021-01-12	Plantas	122
1	2021-01-12	TallosPorPlanta	0.09836065573770492
1	2021-01-12	TallosPorM2	0.5769230769230769
1	2021-05-31	Tallos	NA
1	2021-05-31	Plantas	122
1	2021-05-31	TallosPorPlanta	NA
1	2021-05-31	TallosPorM2	NA
1	2021-04-16	Tallos	44
1	2021-04-16	Plantas	122
1	2021-04-16	TallosPorPlanta	0.36065573770491804
1	2021-04-16	TallosPorM2	2.1153846153846154
1	2021-02-26	Tallos	NA
1	2021-02-26	Plantas	122
1	2021-02-26	TallosPorPlanta	NA
1	2021-02-26	TallosPorM2	NA
1	2021-06-24	Tallos	26
1	2021-06-24	Plantas	122
1	2021-06-24	TallosPorPlanta	0.21311475409836064
1	2021-06-24	TallosPorM2	1.25
1	2021-05-20	Tallos	22
1	2021-05-20	Plantas	122
1	2021-05-20	TallosPorPlanta	0.18032786885245902
1	2021-05-20	TallosPorM2	1.0576923076923077
1	2021-03-31	Tallos	13
1	2021-03-31	Plantas	122
1	2021-03-31	TallosPorPlanta	0.10655737704918032
1	2021-03-31	TallosPorM2	0.625
1	2021-02-08	Tallos	3
1	2021-02-08	Plantas	122
1	2021-02-08	TallosPorPlanta	0.02459016393442623
1	2021-02-08	TallosPorM2	0.14423076923076922
1	2020-12-21	Tallos	7
1	2020-12-21	Plantas	122
1	2020-12-21	TallosPorPlanta	0.05737704918032787
1	2020-12-21	TallosPorM2	0.3365384615384615
1	2020-11-27	Tallos	7
1	2020-11-27	Plantas	122
1	2020-11-27	TallosPorPlanta	0.05737704918032787
1	2020-11-27	TallosPorM2	0.3365384615384615
1	2020-11-06	Tallos	5
1	2020-11-06	Plantas	122
1	2020-11-06	TallosPorPlanta	0.040983606557377046
1	2020-11-06	TallosPorM2	0.24038461538461536
1	2021-03-17	Tallos	2
1	2021-03-17	Plantas	122
1	2021-03-17	TallosPorPlanta	0.01639344262295082
1	2021-03-17	TallosPorM2	0.09615384615384615
1	2021-01-19	Tallos	11
1	2021-01-19	Plantas	122
1	2021-01-19	TallosPorPlanta	0.09016393442622951
1	2021-01-19	TallosPorM2	0.5288461538461539
1	2021-06-03	Tallos	19
1	2021-06-03	Plantas	122
1	2021-06-03	TallosPorPlanta	0.1557377049180328
1	2021-06-03	TallosPorM2	0.9134615384615384
1	2021-04-20	Tallos	20
1	2021-04-20	Plantas	122
1	2021-04-20	TallosPorPlanta	0.16393442622950818
1	2021-04-20	TallosPorM2	0.9615384615384615
1	2021-03-04	Tallos	2
1	2021-03-04	Plantas	122
1	2021-03-04	TallosPorPlanta	0.01639344262295082
1	2021-03-04	TallosPorM2	0.09615384615384615
1	2021-06-28	Tallos	29
1	2021-06-28	Plantas	122
1	2021-06-28	TallosPorPlanta	0.23770491803278687
1	2021-06-28	TallosPorM2	1.3942307692307692
1	2021-05-24	Tallos	24
1	2021-05-24	Plantas	122
1	2021-05-24	TallosPorPlanta	0.19672131147540983
1	2021-05-24	TallosPorM2	1.1538461538461537
1	2021-04-05	Tallos	14
1	2021-04-05	Plantas	122
1	2021-04-05	TallosPorPlanta	0.11475409836065574
1	2021-04-05	TallosPorM2	0.673076923076923
1	2021-02-16	Tallos	7
1	2021-02-16	Plantas	122
1	2021-02-16	TallosPorPlanta	0.05737704918032787
1	2021-02-16	TallosPorM2	0.3365384615384615
1	2020-12-24	Tallos	7
1	2020-12-24	Plantas	122
1	2020-12-24	TallosPorPlanta	0.05737704918032787
1	2020-12-24	TallosPorM2	0.3365384615384615
1	2020-11-30	Tallos	17
1	2020-11-30	Plantas	122
1	2020-11-30	TallosPorPlanta	0.13934426229508196
1	2020-11-30	TallosPorM2	0.8173076923076923
1	2020-11-09	Tallos	17
1	2020-11-09	Plantas	122
1	2020-11-09	TallosPorPlanta	0.13934426229508196
1	2020-11-09	TallosPorM2	0.8173076923076923
1	2021-03-23	Tallos	6
1	2021-03-23	Plantas	122
1	2021-03-23	TallosPorPlanta	0.04918032786885246
1	2021-03-23	TallosPorM2	0.28846153846153844
1	2021-01-26	Tallos	1
1	2021-01-26	Plantas	122
1	2021-01-26	TallosPorPlanta	0.00819672131147541
1	2021-01-26	TallosPorM2	0.04807692307692307
1	2021-06-08	Tallos	26
1	2021-06-08	Plantas	122
1	2021-06-08	TallosPorPlanta	0.21311475409836064
1	2021-06-08	TallosPorM2	1.25
1	2021-04-23	Tallos	NA
1	2021-04-23	Plantas	122
1	2021-04-23	TallosPorPlanta	NA
1	2021-04-23	TallosPorM2	NA
1	2020-12-14	Tallos	22
1	2020-12-14	Plantas	122
1	2020-12-14	TallosPorPlanta	0.18032786885245902
1	2020-12-14	TallosPorM2	1.0576923076923077
1	2020-12-11	Tallos	5
1	2020-12-11	Plantas	122
1	2020-12-11	TallosPorPlanta	0.040983606557377046
