Fecha;Semana;Lote.;Cultivo.;Herramienta.de.aplicaci.U.00F3.n.;Objetivo.s..;Producto.s..
2021-04-12;15;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso;ADN FUN (1.5) + Agrotin (0.5)
2021-04-12;15;H1;Passifloras;Bomba de espalda sthill;Desinfeccion;Agrodyne (1.5)
2021-04-12;15;F1;Tomate;Bomba de espalda sthill;Polvoso y mosca blanca;Baktur (2), Adral (2), subticrop (4)
2021-04-13;15;Reservorio;Reservorio;Maruyama;Algas;Emagro ( 2 litros en 200 de agua)
2021-04-13;15;Richel;Rosas;Maruyama + Aguilon ADN;Afidos y polvoso;ADNGREEN (1.5), ADNGARD (0.5), Agrotin (0.5)
2021-04-15;15;H2, F1;Tomate;Bomba de espalda sthill;polvoso y Tuta;Timorex (1.5), Bassicore (2), Agrotin (1)
2021-04-15;15;O;Brassicaes;Maruyama;Plutella;Dinastia (1), Agrotin (1)
2021-04-16;15;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso;Bioclean (1.5), Agrotin (0.5)
2021-04-16;15;H1;Passifloras;Bomba de espalda sthill;Escamas;Oportune (0.5), Carrier (0.5)
2021-04-19;16;H2, F1;Tomate;Bomba de espalda sthill;Polvoso, Tuta y Mosca blanca;Timorex (1.4), Neemazal (1), Agrotin (0.5)
2021-04-19;16;Richel;Rosas;Bomba de espalda sthill;Polvoso;Timorex (1.4), Neemazal (1), Agrotin (0.5)
2021-04-19;16;G1;Hortalizas;Bomba de espalda sthill;Afidos;Neemazal (1.5), Agrotin (1)
2021-04-21;16;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso;Subticrop (4), Adral (2)
2021-04-21;16;G1;Hortalizas;Bomba de espalda sthill;Afidos;ADN GREEN (1.5), Agrotin (1)
2021-04-22;16;O;Brassicaes;Bomba de espalda sthill;Plutella;Baktur (2), Adral (2), subticrop (4)
2021-04-23;16;H2, F1;Tomate;Bomba de espalda sthill;Tuta, Polvoso;Timorex (1.5), Baktur(2), Agrotin (1)
2021-04-23;16;G1;Fresas, pepino;Bomba de espalda sthill;Botrytis, trips;ADN TRI3 (1), ADN BOT (1.5), Agrotin (0.5)
2021-04-26;17;H1;Passifloras;Bomba de espalda sthill;Escamas;Neemazal (1.5), Carrier (1.5)
2021-04-26;17;Richel;Rosas;Maruyama + Aguilon ADN;Afidos y polvoso;ADN TRI3 (1.5), Timorex (1.4)
2021-04-26;17;H2, F1;Tomate;Bomba de espalda sthill;Tuta, Polvoso;Baktur (2), Adral (2), subticrop (4)
2021-04-27;17;O, A;Brassicaes;Bomba de espalda sthill;Preventivo;Baktur (2), Adral (2), Agrotin (1)
2021-04-27;17;G1;Fresas, pepino, Lechugas;Bomba de espalda sthill;Afidos, Trips;ADN TRI3 (1.5), ADN FUN (1), Agrotin (1)
2021-04-29;17;H2;Tomate;Bomba de espalda sthill;Polvoso;Safer mix (1.5), Bioclean (1)
2021-04-29;17;F1;Tomate;Bomba de espalda sthill;Mosca blanca;Sulfolilo (1), Potajin (0.8)
2021-05-05;18;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso;ADN FUN (1) + Agrotin (0.5)
2021-05-11;19;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso, velloso;ADN CLEAN (1.5)
2021-05-11;19;H2;Tomate;Bomba de espalda sthill;Preventivo;Timorex (1), Bassicore (1)
2021-05-11;19;F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Timorex (1.5), Bassicore (2)
2021-05-11;19;H1;Passifloras;Bomba de espalda sthill;Escamas;Neemazal (1.5), Agrotin (1)
2021-05-13;19;Richel;Rosas;Maruyama + Aguilon ADN;Preventivo;ADN SIL (1 )
2021-05-14;19;H2;Tomate;Bomba de espalda sthill;Preventivo, pseudomonas;Cumbre (1), Agrotin (1)
2021-05-14;19;F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;ADN TRI3 (1.5), Bioclean (1), Agrotin (1)
2021-05-14;19;Richel;Rosas;Maruyama + Aguilon ADN;Focos acaros;ADN MILBE (1.4), Agrotin (0.5)
2021-05-18;20;H2;Tomate;Bomba de espalda sthill;Polvoso;Subticrop (4)
2021-05-18;20;F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Safer mix (1.5), ADN FUN (1.5)
2021-05-18;20;Richel;Rosas;Maruyama + Aguilon ADN;Trips, Afidos;ADN TRI3 (1.5)
2021-05-20;20;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso;Timorex (1.5), Agrotin (0.5)
2021-05-20;20;H2, F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Neemazal (1.5), ADN FUN (1.5)
2021-05-20;20;H1;Passifloras;Bomba de espalda sthill;Escamas;Oportune (0.5), Agrotin (0.5)
2021-05-21;20;Richel;Rosas;Maruyama + Aguilon ADN;Acaros;ADN EGG (1.5)
2021-05-24;21;Richel;Rosas;Maruyama + Aguilon ADN;Estimulación;Terradrin (1)
2021-05-24;21;H2, F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Neemazal (1.5), ADN FUN (1.5)
2021-05-27;21;H2, F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Safermix (2), Timorex (1.5), Agrotin (1)
2021-05-27;21;Richel;Rosas;Maruyama + Aguilon ADN;Lavado;Bioclean (1.5)
2021-05-28;21;Richel;Rosas;Maruyama + Aguilon ADN;polvoso;ADN FUN (1) + Agrotin (0.5)
2021-05-31;22;Richel;Rosas;Maruyama + Aguilon ADN;Afidos;Bassicore (1.5) + Agrotin (1)
2021-05-31;22;H2, F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Bioclean (1.5), Bassicore (1.5), Agrotin (1)
2021-06-03;22;Richel;Rosas;Maruyama + Aguilon ADN;Preventivo;ADN SIL (1 )
2021-06-03;22;H2, F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Safermix (1.5), Timorex (1.5), Agrotin (1)
2021-06-04;22;Richel;Rosas;Maruyama + Aguilon ADN;Preventivo;ADN GREEN (1.5), Agrotin (1)
2021-06-08;23;H2, F1;Tomate;Bomba de espalda sthill;Polvoso;ADN FUN (1.5) + Agrotin (0.5)
2021-06-08;23;G;Hortalizas, fresa y pepino;Bomba de espalda sthill;Acaros y botrytis;ADN MILBE (1.5), Bioclean (1), Agrotin (0.5)
2021-06-09;23;E;Zanahoria;Manguera de riego;Nematodos;Nemaroot (1)
2021-06-10;23;Richel;Rosas;Maruyama + Aguilon ADN;Bioestimulacion;Terradrin (1)
2021-06-10;23;Richel;Rosas;Maruyama + Aguilon ADN;Botrytis;ADN BOT (1), Agrotin (0.5)
2021-06-11;23;H2, F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;NO FLY (1.5), Bioclean (1), Agrotin (0.5)
2021-06-11;23;G;Hortalizas;Bomba de espalda sthill;Afidos;ADN TRI3 (1.5), Agrotin (1)
2021-06-11;23;Richel;Rosas;Maruyama + Aguilon ADN;Afidos;ADN GREEN (1), ADN GARD (0.5)
2021-06-17;24;Richel;Rosas;Maruyama + Aguilon ADN;Bioestimulacion;Ascofol (1)
2021-06-17;24;H2, F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;Timorex (1.5), Safer mix (1), Agrotin (1)
2021-06-18;24;H1;Passifloras;Bomba de espalda sthill;Acaros;Bassicore (1.5) + Agrotin (1)
