Invernadero	Modulo	Ciclo	Cultivo	Tipo	Variedad	Camas	Cama	Duracion	Sustrato	Estado	Fecha
Hortisimulador	2	1	Tomate	Chonto	Varias	6	NA	173	2	Final	2021-01-21
Hortisimulador	2	1	Tomate	Chonto	Varias	6	NA	173	2	Semillero	NA
Hortisimulador	2	1	Tomate	Chonto	Varias	6	NA	173	2	En Cultivo	2090-08-01
Vidrio 	1	NA	Tomate	Chonto	Gem 	2	NA	149	2	Final	2020-11-01
Vidrio 	1	NA	Tomate	Chonto	Gem 	2	NA	149	2	Semillero	NA
Vidrio 	1	NA	Tomate	Chonto	Gem 	2	NA	149	2	En Cultivo	2090-06-05
Vidrio 	1	NA	Tomate	Cherry	Cherry amarrillo	1	NA	149	2	Final	2020-11-01
Vidrio 	1	NA	Tomate	Cherry	Cherry amarrillo	1	NA	149	2	Semillero	NA
Vidrio 	1	NA	Tomate	Cherry	Cherry amarrillo	1	NA	149	2	En Cultivo	2090-06-05
Vidrio 	1	NA	Tomate	Chonto	Gem 	2	NA	112	2	Final	2020-11-20
Vidrio 	1	NA	Tomate	Chonto	Gem 	2	NA	112	2	Semillero	NA
Vidrio 	1	NA	Tomate	Chonto	Gem 	2	NA	112	2	En Cultivo	2090-07-31
Hortisimulador	1	1	Pasifloras	"NA"	Varias	6	NA	267	"NA"	Final	2021-07-03
Hortisimulador	1	1	Pasifloras	"NA"	Varias	6	NA	267	"NA"	Semillero	NA
Hortisimulador	1	1	Pasifloras	"NA"	Varias	6	NA	267	"NA"	En Cultivo	2090-09-17
Richel	1	1	Rosas	"NA"	Freedom	12	NA	298	"NA"	Final	2021-07-03
Richel	1	1	Rosas	"NA"	Freedom	12	NA	298	"NA"	Semillero	NA
Richel	1	1	Rosas	"NA"	Freedom	12	NA	298	"NA"	En Cultivo	2090-08-17
Vidrio 	1	NA	Tomate	Chonto	Gem 	1	NA	176	2	Final	2021-02-25
Vidrio 	1	NA	Tomate	Chonto	Gem 	1	NA	176	2	Semillero	NA
Vidrio 	1	NA	Tomate	Chonto	Gem 	1	NA	176	2	En Cultivo	2090-09-02
Vidrio 	1	1	Tomate	Chonto	Gem 	1	6	167	3	Final	2021-03-24
Vidrio 	1	1	Tomate	Chonto	Gem 	1	6	167	3	Semillero	NA
Vidrio 	1	1	Tomate	Chonto	Gem 	1	6	167	3	En Cultivo	2090-10-08
Vidrio 	1	1	Tomate	Cherry	Cherry uvalina	1	7	203	3	Final	2021-04-29
Vidrio 	1	1	Tomate	Cherry	Cherry uvalina	1	7	203	3	Semillero	NA
