Invernadero	Compartimiento	Cama	Fecha	Riego.Volumen	Riego.CE	Riego.pH	Drenaje.Volumen	Drenaje.CE	Drenaje.pH	PorcDrenaje
Hortisimulador	1	3	43909	3370	0.32	7.2	236.175	1.69	7.48	0.07008160237
Hortisimulador	1	3	43910	1099.95	1.12	6.2	236.78125	1.16	6.99	0.2152654666
Hortisimulador	1	3	43911	1099.95	1.12	6.2	236.78125	1.16	6.99	0.2152654666
Hortisimulador	1	3	43912	1099.95	1.12	6.2	236.78125	1.16	6.99	0.2152654666
Hortisimulador	1	3	43913	1099.95	1.12	6.2	236.78125	1.16	6.99	0.2152654666
Hortisimulador	1	3	43914	729.1	1.03	6.65	569.775	1.25	7.47	0.7814771636
Hortisimulador	1	3	43915	484.9	1.31	6.84	296.2	1.4	7.73	0.6108475974
Hortisimulador	1	3	43916	544.5	1.93	6.55	207.725	1.12	7.69	0.381496786
Hortisimulador	1	3	43917	1397.1	1.15	6.69	1001.175	1.16	7.54	0.7166094052
Hortisimulador	1	3	43918	1656.3	0.74	6.5	1173.325	0.99	7.2	0.7084012558
Hortisimulador	1	3	43919	1656.3	0.74	6.5	1173.325	0.99	7.2	0.7084012558
Hortisimulador	1	3	43920	1364.1	1.01	6.58	1060.225	0.9	7.33	0.7772340737
Hortisimulador	1	3	43921	1520.4	0.86	6.82	1165.4	0.78	7.26	0.7665088135
Hortisimulador	1	3	43922	1361.95	0.74	6.58	1003.775	0.61	7.13	0.7370131062
Hortisimulador	1	3	43923	1361.95	0.74	6.58	1003.775	0.61	7.13	0.7370131062
Hortisimulador	1	3	43924	777.866666666667	0.94	7	380.141666666667	0.6	7.71	0.4886977203
Hortisimulador	1	3	43925	777.866666666667	0.94	7	380.141666666667	0.6	7.71	0.4886977203
Hortisimulador	1	3	43926	777.866666666667	0.94	7	380.141666666667	0.6	7.71	0.4886977203
Hortisimulador	1	3	43927	119.625	2.34	6.55	0	0	0	0
Hortisimulador	1	3	43928	119.625	2.34	6.55	0	0	0	0
Hortisimulador	1	3	43929	484.9	2.2	6.5	6.8	1.38	8.54	0.01402351
Hortisimulador	1	3	43930	484.9	2.2	6.5	6.8	1.38	8.54	0.01402351
Hortisimulador	1	3	43931	484.9	2.2	6.5	6.8	1.38	8.54	0.01402351
Hortisimulador	1	3	43932	484.9	2.2	6.5	6.8	1.38	8.54	0.01402351
Hortisimulador	1	3	43933	484.9	2.2	6.5	6.8	1.38	8.54	0.01402351
Hortisimulador	1	3	43934	710	1.89	5.89	0	0	0	0
Hortisimulador	1	3	43935	710	1.89	5.89	0	0	0	0
Hortisimulador	1	3	43936	334.475	1.26	6.44	0	0	0	0
Hortisimulador	1	3	43937	334.475	1.26	6.44	0	0	0	0
Hortisimulador	1	3	43938	334.475	1.26	6.44	0	0	0	0
Hortisimulador	1	3	43939	619.8	2.42	6.21	0	0	0	0
Hortisimulador	1	3	43940	619.8	2.42	6.21	0	0	0	0
Hortisimulador	1	3	43941	710.8	1.86	6.6	0	0	0	0
Hortisimulador	1	3	43942	840	1.5	6.44	0	0	0	0
Hortisimulador	1	3	43943	344.5	2.47	6.23	0	0	0	0
Hortisimulador	1	3	43944	212.075	2.44	6.33	0	0	0	0
Hortisimulador	1	3	43945	1049.56666666667	2.45	6.15	3.75	5.34	6.97	0.003572903103
Hortisimulador	1	3	43946	1049.56666666667	2.45	6.15	3.75	5.34	6.97	0.003572903103
Hortisimulador	1	3	43947	1049.56666666667	2.45	6.15	3.75	5.34	6.97	0.003572903103
Hortisimulador	1	3	43948	1487.7	2.36	6.28	0	0	0	0
Hortisimulador	1	3	43949	1361.1	2.44	6.25	0	0	0	0
Hortisimulador	1	3	43950	1049.7	2.63	6.34	171.825	2.95	7.69	0.1636896256
Hortisimulador	1	3	43951	1008.85	2.3	6.13	191.24375	2.35	7.62	0.1895660901
Hortisimulador	1	3	43952	1008.85	2.3	6.13	191.24375	2.35	7.62	0.1895660901
Hortisimulador	1	3	43953	1008.85	2.3	6.13	191.24375	2.35	7.62	0.1895660901
Hortisimulador	1	3	43954	1008.85	2.3	6.13	191.24375	2.35	7.62	0.1895660901
Hortisimulador	1	3	43955	771.2	2.12	6.36	139.625	2.39	7.62	0.1810490145
Hortisimulador	1	3	43956	1187.15	2.24	6.22	67.075	2.65	7.12	0.05650086341
Hortisimulador	1	3	43957	1187.15	2.24	6.22	67.075	2.65	7.12	0.05650086341
Hortisimulador	1	3	43958	1006.6	1.79	6.43	71.45	2.75	7.39	0.07098152196
Hortisimulador	1	3	43959	966.3	1.588	6.48	216.525	2.55	7.9	0.2240763738
Hortisimulador	1	3	43960	1678.2	1.66	6.22	228.1625	2.46	7.83	0.1359566798
Hortisimulador	1	3	43961	1678.2	1.66	6.22	228.1625	2.46	7.83	0.1359566798
Hortisimulador	1	3	43962	1620.6	1.63	6.3	167.3	2.28	7.63	0.1032333704
Hortisimulador	1	3	43963	1134.7	1.59	6.39	45.05	2.8	7.71	0.03970212391
Hortisimulador	1	3	43964	1139.7	1.58	6.39	306.85	2.18	7.79	0.2692375186
Hortisimulador	1	3	43965	1314.3	1.57	6.3	206.35	2.42	7.57	0.1570037282
Hortisimulador	1	3	43966	1166.66666666667	1.45	6.28	214.591666666667	2.36	8.08	0.1839357143
Hortisimulador	1	3	43967	1166.66666666667	1.45	6.28	214.591666666667	2.36	8.08	0.1839357143
Hortisimulador	1	3	43968	1166.66666666667	1.45	6.28	214.591666666667	2.36	8.08	0.1839357143
Hortisimulador	1	3	43969	1173.5	1.28	6.4	0	0	0	0
Hortisimulador	1	3	43970	869.8	2.65	6.19	0	0	0	0
Hortisimulador	1	3	43971	1341.5	2.9	6.18	0	0	0	0
Hortisimulador	1	3	43972	1414.8	2.46	6.26	203.9	2.89	7.45	0.1441193101
Hortisimulador	1	3	43973	1450.06666666667	2.96	6.16	154.016666666667	3.85	7.25	0.1062135074
Hortisimulador	1	3	43974	1450.06666666667	2.96	6.16	154.016666666667	3.85	7.25	0.1062135074
Hortisimulador	1	3	43975	1450.06666666667	2.96	6.16	154.016666666667	3.85	7.25	0.1062135074
Hortisimulador	1	3	43976	1450.06666666667	2.96	6.16	154.016666666667	3.85	7.25	0.1062135074
Hortisimulador	1	3	43977	1459.7	2.25	6.26	44.85	5.34	6.78	0.03072549154
Hortisimulador	1	3	43978	1543.9	1.56	6.52	121.45	4.53	6.98	0.07866442127
Hortisimulador	1	3	43979	1543.9	1.56	6.52	121.45	4.53	6.98	0.07866442127
Hortisimulador	1	3	43980	590.9	2.7	6.26	0	0	0	0
Hortisimulador	1	3	43981	1987.3	1.75	6.38	193.55	4.42	6.94	0.0973934484
Hortisimulador	1	3	43982	1987.3	1.75	6.38	193.55	4.42	6.94	0.0973934484
Hortisimulador	1	3	43983	983.7	1.5	6.52	135.3	3.76	7.11	0.1375419335
Hortisimulador	1	3	43984	984.6	1.56	6.57	198.1	3.64	7.24	0.2011984562
Hortisimulador	1	3	43985	718.3	1.24	6.67	95.475	3.73	7.39	0.1329180008
Hortisimulador	1	3	43986	1237.5	1.28	6.7	201.175	3.43	7.4	0.1625656566
Hortisimulador	1	3	43987	1405.78	1.31	6.48	176.525	2.69	7.65	0.1255708575
Hortisimulador	1	3	43988	1072.9	1.25	6.34	79.675	3.29	7.26	0.07426134775
Hortisimulador	1	3	43989	757.1	2.15	6.23	0	0	0	0
Hortisimulador	1	3	43990	757.1	2.15	6.23	0	0	0	0
Hortisimulador	1	3	43991	757.1	2.15	6.23	0	0	0	0
Hortisimulador	1	3	43992	1580.6	2.03	6.21	29.0125	3.03	7.03	0.01835537138
Hortisimulador	1	3	43993	1580.6	2.03	6.21	29.0125	3.03	7.03	0.01835537138
Hortisimulador	1	3	43994	1596.41	2.2	6	498.298125	3.16	6.78	0.3121366848
Hortisimulador	1	3	43995	1596.41	2.2	6	498.298125	3.16	6.78	0.3121366848
Hortisimulador	1	3	43996	1596.41	2.2	6	498.298125	3.16	6.78	0.3121366848
Hortisimulador	1	3	43997	1596.41	2.2	6	498.298125	3.16	6.78	0.3121366848
Hortisimulador	1	3	43998	1520.1	2.41	6.31	563.575	3.45	6.89	0.370748635
Hortisimulador	1	3	43999	1537.2	2.2	6.37	521.9	3.1	6.87	0.339513401
Hortisimulador	1	3	44000	1238.5	2.1	6.34	606.125	2.98	6.9	0.489402503
Hortisimulador	1	3	44001	2039.6	2.59	6.37	973.675	3.16	6.63	0.4773852716
Hortisimulador	1	3	44002	2024.73333333333	2.21	6.28	828.141666666667	3.07	6.3	0.4090127095
Hortisimulador	1	3	44003	2024.73333333333	2.21	6.28	828.141666666667	3.07	6.3	0.4090127095
Hortisimulador	1	3	44004	2024.73333333333	2.21	6.28	828.141666666667	3.07	6.3	0.4090127095
Hortisimulador	1	3	44005	1716.6	2.15	6.39	778.225	2.95	6.27	0.4533525574
Hortisimulador	1	3	44006	2309.2	1.98	6.34	1100.275	2.73	6.2	0.4764745366
Hortisimulador	1	3	44007	2173.6	1.98	6.31	872.525	2.84	6.14	0.4014193044
Hortisimulador	1	3	44008	1663.25	1.97	6.22	621.6125	2.42	6.19	0.373733654
Hortisimulador	1	3	44009	1663.25	1.97	6.22	621.6125	2.42	6.19	0.373733654
Hortisimulador	1	3	44010	1663.25	1.97	6.22	621.6125	2.42	6.19	0.373733654
Hortisimulador	1	3	44011	1663.25	1.97	6.22	621.6125	2.42	6.19	0.373733654
Hortisimulador	1	3	44012	2589.2	2.23	6.34	1243.1	2.75	6.16	0.4801096864
Hortisimulador	1	3	44013	2485.9	2.07	6.34	935.75	2.71	6.18	0.3764230259
Hortisimulador	1	3	44014	1223.6	2.55	6.37	726.625	3.09	6.19	0.5938419418
Hortisimulador	1	3	44015	1959.36666666667	1.91	6.3	782.841666666667	2.63	6.19	0.3995381161
Hortisimulador	1	3	44016	1959.36666666667	1.91	6.3	782.841666666667	2.63	6.19	0.3995381161
Hortisimulador	1	3	44017	1959.36666666667	1.91	6.3	782.841666666667	2.63	6.19	0.3995381161
Hortisimulador	1	3	44018	604.2	2.01	6.03	347.85	3.01	6.36	0.5757199603
Hortisimulador	1	3	44019	747.975	2.06	6.3	131.7	3.36	5.95	0.1760754036
Hortisimulador	1	3	44020	1522.5	3	6.26	88.5	4.83	5.88	0.05812807882
Hortisimulador	1	3	44021	1264.8	1.85	6.43	792.8	3.43	5.36	0.6268184693
Hortisimulador	1	3	44022	1470.66666666667	2.17	6.46	479.325	3.61	6.12	0.3259236174
Hortisimulador	1	3	44023	1470.66666666667	2.17	6.46	479.325	3.61	6.12	0.3259236174
Hortisimulador	1	3	44024	1470.66666666667	2.17	6.46	479.325	3.61	6.12	0.3259236174
Hortisimulador	1	3	44025	1760.1	1.2	6.54	484.275	3.22	6.29	0.275140617
Hortisimulador	1	3	44026	4593.8	3.54	6.08	737.325	3.37	6.17	0.1605043755
Hortisimulador	1	3	44027	2998.3	1.98	6.44	1741.65	2.6	6.3	0.5808791649
Hortisimulador	1	3	44028	1366.2	2.64	6.48	856.95	3.41	6.38	0.6272507686
Hortisimulador	1	3	44029	1747.25	1.49	6.47	626.4875	2.54	6.5	0.3585563028
Hortisimulador	1	3	44030	1747.25	1.49	6.47	626.4875	2.54	6.5	0.3585563028
Hortisimulador	1	3	44031	1747.25	1.49	6.47	626.4875	2.54	6.5	0.3585563028
Hortisimulador	1	3	44032	1747.25	1.49	6.47	626.4875	2.54	6.5	0.3585563028
Hortisimulador	1	3	44033	1414.2	1.82	6.54	608.175	2.2	7.05	0.4300487908
Hortisimulador	1	3	44034	2014.15	2.51	6.22	992.225	2.47	6.66	0.4926271628
Hortisimulador	1	3	44035	2014.15	2.51	6.22	992.225	2.47	6.66	0.4926271628
