Fecha	Variedad	Cama	Plantas	Calidad	No.Frutos	Peso_kg	Peso_kgplanta
2021-03-15	TA	1	6	Comercial	11	0.672	0.112
2021-03-15	TA	1	6	Desecho	NA	NA	NA
2021-03-15	WI	2	6	Comercial	NA	NA	NA
2021-03-15	WI	2	6	Desecho	NA	NA	NA
2021-03-15	VU	3	6	Comercial	NA	NA	NA
2021-03-15	VU	3	6	Desecho	NA	NA	NA
2021-03-15	CA	4	6	Comercial	NA	NA	NA
2021-03-15	CA	4	6	Desecho	81	2.643	0.44049999999999995
2021-03-15	KI	5	6	Comercial	1	0.066	0.011000000000000001
2021-03-15	KI	5	6	Desecho	26	0.433	0.07216666666666667
2021-03-15	GU	6	6	Comercial	7	0.28	0.04666666666666667
2021-03-15	GU	6	6	Desecho	8	0.118	0.019666666666666666
2021-03-19	TA	1	6	Comercial	2	0.148	0.024666666666666667
2021-03-19	TA	1	6	Desecho	11	0.258	0.043000000000000003
2021-03-19	WI	2	6	Comercial	NA	NA	NA
2021-03-19	WI	2	6	Desecho	NA	NA	NA
2021-03-19	VU	3	6	Comercial	NA	NA	NA
2021-03-19	VU	3	6	Desecho	NA	NA	NA
2021-03-19	CA	4	6	Comercial	NA	NA	NA
2021-03-19	CA	4	6	Desecho	5	0.068	0.011333333333333334
2021-03-19	KI	5	6	Comercial	2	0.162	0.027
2021-03-19	KI	5	6	Desecho	9	0.105	0.017499999999999998
2021-03-19	GU	6	6	Comercial	NA	NA	NA
2021-03-19	GU	6	6	Desecho	3	0.027	0.0045
2021-03-23	TA	1	6	Comercial	9	0.52	0.08666666666666667
2021-03-23	TA	1	6	Desecho	20	0.601	0.10016666666666667
2021-03-23	WI	2	6	Comercial	NA	NA	NA
2021-03-23	WI	2	6	Desecho	NA	NA	NA
2021-03-23	VU	3	6	Comercial	NA	NA	NA
2021-03-23	VU	3	6	Desecho	NA	NA	NA
2021-03-23	CA	4	6	Comercial	10	0.5880000000000001	0.09800000000000002
2021-03-23	CA	4	6	Desecho	20	0.284	0.04733333333333333
2021-03-23	KI	5	6	Comercial	14	0.862	0.14366666666666666
2021-03-23	KI	5	6	Desecho	37	0.529	0.08816666666666667
2021-03-23	GU	6	6	Comercial	20	0.8340000000000001	0.139
2021-03-23	GU	6	6	Desecho	7	0.291	0.048499999999999995
2021-03-24	TA	1	6	Comercial	NA	NA	NA
2021-03-24	TA	1	6	Desecho	89	1.691	0.2818333333333333
2021-03-24	WI	2	6	Comercial	NA	NA	NA
2021-03-24	WI	2	6	Desecho	NA	NA	NA
2021-03-24	VU	3	6	Comercial	NA	NA	NA
2021-03-24	VU	3	6	Desecho	NA	NA	NA
2021-03-24	CA	4	6	Comercial	NA	NA	NA
2021-03-24	CA	4	6	Desecho	NA	NA	NA
2021-03-24	KI	5	6	Comercial	NA	NA	NA
2021-03-24	KI	5	6	Desecho	NA	NA	NA
2021-03-24	GU	6	6	Comercial	NA	NA	NA
2021-03-24	GU	6	6	Desecho	NA	NA	NA
2021-03-26	TA	1	6	Comercial	1	0.058	0.009666666666666667
2021-03-26	TA	1	6	Desecho	4	0.131	0.021833333333333333
2021-03-26	WI	2	6	Comercial	NA	NA	NA
2021-03-26	WI	2	6	Desecho	8	0.19	0.03166666666666667
2021-03-26	VU	3	6	Comercial	NA	NA	NA
2021-03-26	VU	3	6	Desecho	NA	NA	NA
2021-03-26	CA	4	6	Comercial	5	0.257	0.042833333333333334
2021-03-26	CA	4	6	Desecho	15	0.277	0.04616666666666667
2021-03-26	KI	5	6	Comercial	8	0.334	0.05566666666666667
2021-03-26	KI	5	6	Desecho	22	0.561	0.09350000000000001
2021-03-26	GU	6	6	Comercial	14	0.499	0.08316666666666667
2021-03-26	GU	6	6	Desecho	2	0.055	0.009166666666666667
2021-03-29	TA	1	6	Comercial	15	0.916	0.15266666666666667
2021-03-29	TA	1	6	Desecho	123	5.251	0.8751666666666668
2021-03-29	WI	2	6	Comercial	NA	NA	NA
2021-03-29	WI	2	6	Desecho	NA	NA	NA
2021-03-29	VU	3	6	Comercial	NA	NA	NA
2021-03-29	VU	3	6	Desecho	NA	NA	NA
2021-03-29	CA	4	6	Comercial	13	0.859	0.14316666666666666
2021-03-29	CA	4	6	Desecho	15	0.612	0.102
2021-03-29	KI	5	6	Comercial	3	0.203	0.03383333333333333
2021-03-29	KI	5	6	Desecho	19	0.755	0.12583333333333332
2021-03-29	GU	6	6	Comercial	33	1.245	0.20750000000000002
2021-03-29	GU	6	6	Desecho	5	0.138	0.023000000000000003
2021-04-05	TA	1	6	Comercial	9	0.547	0.09116666666666667
2021-04-05	TA	1	6	Desecho	111	4.158	0.6930000000000001
2021-04-05	WI	2	6	Comercial	1	0.058	0.009666666666666667
2021-04-05	WI	2	6	Desecho	2	0.01	0.0016666666666666668
2021-04-05	VU	3	6	Comercial	2	0.083	0.013833333333333335
2021-04-05	VU	3	6	Desecho	NA	NA	NA
2021-04-05	CA	4	6	Comercial	21	1.73	0.28833333333333333
2021-04-05	CA	4	6	Desecho	15	0.587	0.09783333333333333
2021-04-05	KI	5	6	Comercial	28	1.527	0.2545
2021-04-05	KI	5	6	Desecho	16	0.436	0.07266666666666667
2021-04-05	GU	6	6	Comercial	80	3.259	0.5431666666666667
2021-04-05	GU	6	6	Desecho	10	0.297	0.049499999999999995
2021-04-08	TA	1	6	Comercial	10	0.593	0.09883333333333333
2021-04-08	TA	1	6	Desecho	3	0.096	0.016
2021-04-08	WI	2	6	Comercial	NA	NA	NA
2021-04-08	WI	2	6	Desecho	4	0.163	0.02716666666666667
2021-04-08	VU	3	6	Comercial	14	0.681	0.1135
2021-04-08	VU	3	6	Desecho	1	0.006	0.001
2021-04-08	CA	4	6	Comercial	5	0.275	0.04583333333333334
2021-04-08	CA	4	6	Desecho	12	0.158	0.026333333333333334
