Fecha	Actividad
2020-11-08	Cambio en la temperatura de ventilaci<c3><b3>n -
2020-11-14	Lavado del pl<c3><a1>stico del techo del inver
2020-11-20	Instalaci<c3><b3>n de ca<c3><b1>uelas en los tubos de c
2020-11-28	Cambio en la temperatura de ventilaci<c3><b3>n - 24<c2><ba>C Dia -
2020-12-17	Ajustes en pantalla, ventilaci<c3><b3>n y calefacci<c3><b3>n a partir de reuni<c3><b3>n con 
2020-12-29	Se independiza manejo del riego por expansi<c3><b3>n del
2020-12-03	Retanqueo de gas
2021-01-06	Cambio apertura m<c3><a1>xima de ventana al viento a 50% - Consultor Sv
2021-01-07	Cambios en temperaturas de ventilaci<c3><b3>n (17<c2><ba>C) y calefacci<c3><b3>n durant
2021-01-12	Inicia monitoreo de floraci<c3><b3>n y c
2021-01-19	Instalaci<c3><b3>n sensores de peso 
2021-01-24	Temperatura de ventilaci<c3><b3>n se sube a
2021-02-09	Pulso de riego a 150 cc y se baja CE de la soluci<c3><b3>n a 2.
2021-02-26	Pulso de riego a 200 cc
2021-03-06	Tercer gotero a las materas de 35 litros
2021-02-10	Mantenimiento a la caldera y se restablece operaci<c3><b3>n de la calefa
2021-03-11	Desmonte canaletas de soporte del invernadero
2021-03-15	Primera cosecha
2021-03-24	Toma de muestras para analisis foliar de la cama 5 y 6 
2021-03-20	Cambio pantalla t<c3><a9>rmica a Svensson Luxous 154
2021-03-29	Retanqueo de gas
2021-01-18	Retanqueo de gas
2021-03-31	Manguera LED en camas 5 y 6
2021-04-13	Inicia poda de pasifloras
2021-04-15	Finaliza poda de pasifloras
