Fecha	Variedad	Cama	Planta	Organo	Cantidad
2020-01-12	TA	1	1	Flores	10
2020-01-12	TA	1	1	Frutos	0
2020-01-12	TA	1	2	Flores	10
2020-01-12	TA	1	2	Frutos	0
2020-01-12	TA	1	3	Flores	9
2020-01-12	TA	1	3	Frutos	0
2020-01-12	TA	1	4	Flores	12
2020-01-12	TA	1	4	Frutos	0
2020-01-12	TA	1	5	Flores	11
2020-01-12	TA	1	5	Frutos	0
2020-01-12	TA	1	6	Flores	12
2020-01-12	TA	1	6	Frutos	0
2020-01-12	WI	2	1	Flores	0
2020-01-12	WI	2	1	Frutos	0
2020-01-12	WI	2	2	Flores	0
2020-01-12	WI	2	2	Frutos	0
2020-01-12	WI	2	3	Flores	0
2020-01-12	WI	2	3	Frutos	0
2020-01-12	WI	2	4	Flores	0
2020-01-12	WI	2	4	Frutos	0
2020-01-12	WI	2	5	Flores	0
2020-01-12	WI	2	5	Frutos	0
2020-01-12	WI	2	6	Flores	0
2020-01-12	WI	2	6	Frutos	0
2020-01-12	VU	3	1	Flores	13
2020-01-12	VU	3	1	Frutos	0
2020-01-12	VU	3	2	Flores	13
2020-01-12	VU	3	2	Frutos	0
2020-01-12	VU	3	3	Flores	11
2020-01-12	VU	3	3	Frutos	0
2020-01-12	VU	3	4	Flores	9
2020-01-12	VU	3	4	Frutos	0
2020-01-12	VU	3	5	Flores	12
2020-01-12	VU	3	5	Frutos	0
2020-01-12	VU	3	6	Flores	13
2020-01-12	VU	3	6	Frutos	3
2020-01-12	CA	4	1	Flores	9
2020-01-12	CA	4	1	Frutos	0
2020-01-12	CA	4	2	Flores	8
2020-01-12	CA	4	2	Frutos	0
2020-01-12	CA	4	3	Flores	9
2020-01-12	CA	4	3	Frutos	0
2020-01-12	CA	4	4	Flores	9
2020-01-12	CA	4	4	Frutos	0
2020-01-12	CA	4	5	Flores	10
2020-01-12	CA	4	5	Frutos	0
2020-01-12	CA	4	6	Flores	10
2020-01-12	CA	4	6	Frutos	0
2020-01-12	KI	5	1	Flores	12
2020-01-12	KI	5	1	Frutos	0
2020-01-12	KI	5	2	Flores	11
2020-01-12	KI	5	2	Frutos	0
2020-01-12	KI	5	3	Flores	7
2020-01-12	KI	5	3	Frutos	0
2020-01-12	KI	5	4	Flores	12
2020-01-12	KI	5	4	Frutos	0
2020-01-12	KI	5	5	Flores	12
2020-01-12	KI	5	5	Frutos	0
2020-01-12	KI	5	6	Flores	11
2020-01-12	KI	5	6	Frutos	0
2020-01-12	GU	6	1	Flores	10
2020-01-12	GU	6	1	Frutos	0
2020-01-12	GU	6	2	Flores	9
2020-01-12	GU	6	2	Frutos	2
2020-01-12	GU	6	3	Flores	6
