Fecha	Material	Cama	FloresPolinizadas
2021-01-27	NA	NA	229
2021-01-29	NA	NA	218
2021-02-01	NA	NA	183
2021-02-02	NA	NA	211
2021-02-03	NA	NA	111
2021-02-04	NA	NA	219
2021-02-05	NA	NA	153
2021-02-10	NA	NA	96
2021-02-12	NA	NA	185
2021-02-15	NA	NA	180
2021-02-16	NA	NA	192
2021-02-17	NA	NA	141
2021-02-23	NA	NA	142
2021-03-02	NA	NA	78
2021-03-05	NA	NA	146
2021-03-08	NA	NA	41
2021-03-09	NA	NA	42
2021-03-10	NA	NA	52
2021-03-11	NA	NA	50
2021-03-12	NA	NA	28
2021-03-13	NA	NA	23
2021-03-14	NA	NA	NA
2021-03-15	NA	NA	73
2021-05-04	TA	1	7
2021-05-04	WI	2	3
2021-05-04	VU	3	9
2021-05-04	CA	4	10
2021-05-04	KI	5	15
2021-05-04	GU	6	23
2021-05-05	TA	1	1
2021-05-05	WI	2	1
2021-05-05	VU	3	17
2021-05-05	CA	4	14
2021-05-05	KI	5	15
2021-05-05	GU	6	21
2021-05-06	TA	1	1
2021-05-06	WI	2	NA
2021-05-06	VU	3	37
2021-05-06	CA	4	11
2021-05-06	KI	5	14
2021-05-06	GU	6	9
2021-05-07	TA	1	8
2021-05-07	WI	2	2
2021-05-07	VU	3	25
2021-05-07	CA	4	9
2021-05-07	KI	5	24
2021-05-07	GU	6	10
2021-05-10	TA	1	8
2021-05-10	WI	2	1
2021-05-10	VU	3	9
2021-05-10	CA	4	5
2021-05-10	KI	5	9
2021-05-10	GU	6	15
2021-05-11	TA	1	8
2021-05-11	WI	2	NA
2021-05-11	VU	3	20
2021-05-11	CA	4	18
2021-05-11	KI	5	15
2021-05-11	GU	6	17
2021-05-12	TA	1	12
2021-05-12	WI	2	3
2021-05-12	VU	3	23
2021-05-12	CA	4	18
2021-05-12	KI	5	21
2021-05-12	GU	6	30
2021-05-13	TA	1	4
2021-05-13	WI	2	NA
2021-05-13	VU	3	13
2021-05-13	CA	4	22
2021-05-13	KI	5	28
2021-05-13	GU	6	32
2021-05-14	TA	1	17
2021-05-14	WI	2	NA
2021-05-14	VU	3	18
2021-05-14	CA	4	23
2021-05-14	KI	5	55
2021-05-14	GU	6	41
2021-05-18	TA	1	12
2021-05-18	WI	2	2
2021-05-18	VU	3	81
2021-05-18	CA	4	21
2021-05-18	KI	5	16
2021-05-18	GU	6	28
2021-05-19	TA	1	12
2021-05-19	WI	2	10
2021-05-19	VU	3	82
2021-05-19	CA	4	40
2021-05-19	KI	5	68
2021-05-19	GU	6	28
2021-05-20	TA	1	18
2021-05-20	WI	2	3
2021-05-20	VU	3	84
2021-05-20	CA	4	35
2021-05-20	KI	5	107
2021-05-20	GU	6	34
2021-05-21	TA	1	25
2021-05-21	WI	2	13
2021-05-21	VU	3	97
2021-05-21	CA	4	52
2021-05-21	KI	5	118
2021-05-21	GU	6	41
2021-05-24	TA	1	22
2021-05-24	WI	2	3
2021-05-24	VU	3	96
2021-05-24	CA	4	52
2021-05-24	KI	5	88
2021-05-24	GU	6	18
2021-05-25	TA	1	26
2021-05-25	WI	2	3
2021-05-25	VU	3	92
2021-05-25	CA	4	33
2021-05-25	KI	5	64
2021-05-25	GU	6	24
2021-05-26	TA	1	21
2021-05-26	WI	2	3
2021-05-26	VU	3	83
2021-05-26	CA	4	43
2021-05-26	KI	5	57
2021-05-26	GU	6	19
2021-05-27	TA	1	37
2021-05-27	WI	2	1
2021-05-27	VU	3	74
2021-05-27	CA	4	57
2021-05-27	KI	5	91
2021-05-27	GU	6	12
2021-05-28	TA	1	17
2021-05-28	WI	2	NA
2021-05-28	VU	3	58
2021-05-28	CA	4	36
2021-05-28	KI	5	52
2021-05-28	GU	6	12
2021-05-31	TA	1	46
2021-05-31	WI	2	NA
2021-05-31	VU	3	15
2021-05-31	CA	4	27
2021-05-31	KI	5	31
2021-05-31	GU	6	17
2021-06-01	TA	1	17
2021-06-01	WI	2	NA
2021-06-01	VU	3	NA
2021-06-01	CA	4	25
2021-06-01	KI	5	25
2021-06-01	GU	6	15
2021-06-02	TA	1	25
2021-06-02	WI	2	1
2021-06-02	VU	3	4
2021-06-02	CA	4	28
2021-06-02	KI	5	26
2021-06-02	GU	6	13
2021-06-03	TA	1	7
2021-06-03	WI	2	26
2021-06-03	VU	3	22
2021-06-03	CA	4	5
2021-06-03	KI	5	1
2021-06-03	GU	6	51
2021-06-04	TA	1	7
2021-06-04	WI	2	32
2021-06-04	VU	3	28
2021-06-04	CA	4	3
2021-06-04	KI	5	0
2021-06-04	GU	6	26
2021-06-08	TA	1	40
2021-06-08	WI	2	0
2021-06-08	VU	3	2
2021-06-08	CA	4	15
2021-06-08	KI	5	13
2021-06-08	GU	6	11
2021-06-09	TA	1	44
2021-06-09	WI	2	1
2021-06-09	VU	3	17
2021-06-09	CA	4	34
2021-06-09	KI	5	38
2021-06-09	GU	6	16
2021-06-10	TA	1	36
2021-06-10	WI	2	4
2021-06-10	VU	3	21
2021-06-10	CA	4	12
2021-06-10	KI	5	32
2021-06-10	GU	6	20
2021-06-11	TA	1	42
2021-06-11	WI	2	1
2021-06-11	VU	3	12
2021-06-11	CA	4	20
2021-06-11	KI	5	24
2021-06-11	GU	6	9
2021-06-15	TA	1	8
2021-06-15	WI	2	22
2021-06-15	VU	3	16
2021-06-15	CA	4	19
2021-06-15	KI	5	2
2021-06-15	GU	6	37
2021-06-16	TA	1	6
2021-06-16	WI	2	9
2021-06-16	VU	3	15
2021-06-16	CA	4	17
2021-06-16	KI	5	5
2021-06-16	GU	6	33
2021-06-17	TA	1	44
2021-06-17	WI	2	2
2021-06-17	VU	3	38
2021-06-17	CA	4	29
2021-06-17	KI	5	19
2021-06-17	GU	6	4
