CULTIVO,Tiempo en semillero,Tipo de bandeja,Tiempo a cosecha,Estado,Semana,Cantidad
Crespa verde,28,128,8,Plan,6,128
Crespa verde,28,128,8,Siembra,6,120
Crespa verde,28,128,8,Trasplante,6,120
Crespa verde,28,128,8,Plan,7,128
Crespa verde,28,128,8,Siembra,7,128
Crespa verde,28,128,8,Trasplante,7,128
Crespa verde,28,128,8,Plan,8,128
Crespa verde,28,128,8,Siembra,8,128
Crespa verde,28,128,8,Trasplante,8,128
Crespa verde,28,128,8,Plan,9,128
Crespa verde,28,128,8,Siembra,9,128
Crespa verde,28,128,8,Trasplante,9,128
Crespa verde,28,128,8,Plan,10,128
Crespa verde,28,128,8,Siembra,10,128
Crespa verde,28,128,8,Trasplante,10,128
Crespa verde,28,128,8,Plan,11,128
Crespa verde,28,128,8,Siembra,11,128
Crespa verde,28,128,8,Trasplante,11,128
Crespa verde,28,128,8,Plan,12,128
Crespa verde,28,128,8,Siembra,12,128
Crespa verde,28,128,8,Trasplante,12,128
Crespa verde,28,128,8,Plan,13,128
Crespa verde,28,128,8,Siembra,13,124
Crespa verde,28,128,8,Trasplante,13,124
Crespa verde,28,128,8,Plan,14,128
Crespa verde,28,128,8,Siembra,14,128
Crespa verde,28,128,8,Trasplante,14,128
Crespa verde,28,128,8,Plan,15,128
Crespa verde,28,128,8,Siembra,15,NA
Crespa verde,28,128,8,Trasplante,15,0
Crespa verde,28,128,8,Plan,16,128
Crespa verde,28,128,8,Siembra,16,124
Crespa verde,28,128,8,Trasplante,16,124
Crespa verde,28,128,8,Plan,17,128
Crespa verde,28,128,8,Siembra,17,128
Crespa verde,28,128,8,Trasplante,17,128
Crespa verde,28,128,8,Plan,18,128
Crespa verde,28,128,8,Siembra,18,128
Crespa verde,28,128,8,Trasplante,18,128
Crespa verde,28,128,8,Plan,19,128
Crespa verde,28,128,8,Siembra,19,128
Crespa verde,28,128,8,Trasplante,19,128
Crespa verde,28,128,8,Plan,20,128
Crespa verde,28,128,8,Siembra,20,128
Crespa verde,28,128,8,Trasplante,20,128
Crespa verde,28,128,8,Plan,21,128
Crespa verde,28,128,8,Siembra,21,128
Crespa verde,28,128,8,Trasplante,21,128
Crespa verde,28,128,8,Plan,22,128
Crespa verde,28,128,8,Siembra,22,128
Crespa verde,28,128,8,Trasplante,22,128
Crespa verde,28,128,8,Plan,23,128
